times,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,yaw,yaw_dot
4.300000000e-02,2.809696043e-01,1.599753281e+01,0.000000000e+00,6.533505103e+00,-1.147499658e-01,0.000000000e+00,-4.686469445e-02,-2.668329512e+00,0.000000000e+00,-1.089764571e+00,1.913987137e-02,0.000000000e+00,-1.756150293e-02,-4.084070450e-01
4.400000000e-02,2.875030858e-01,1.599741673e+01,0.000000000e+00,6.533457693e+00,-1.174182857e-01,0.000000000e+00,-4.795445508e-02,-2.668310150e+00,0.000000000e+00,-1.089756663e+00,1.958493729e-02,0.000000000e+00,-1.796990998e-02,-4.084070450e-01
4.500000000e-02,2.940365193e-01,1.599729798e+01,0.000000000e+00,6.533409194e+00,-1.200865860e-01,0.000000000e+00,-4.904420771e-02,-2.668290342e+00,0.000000000e+00,-1.089748574e+00,2.002999994e-02,0.000000000e+00,-1.837831702e-02,-4.084070450e-01
4.600000000e-02,3.005699038e-01,1.599717656e+01,0.000000000e+00,6.533359605e+00,-1.227548662e-01,0.000000000e+00,-5.013395217e-02,-2.668270090e+00,0.000000000e+00,-1.089740303e+00,2.047505926e-02,0.000000000e+00,-1.878672407e-02,-4.084070450e-01
4.700000000e-02,3.071032381e-01,1.599705247e+01,0.000000000e+00,6.533308926e+00,-1.254231260e-01,0.000000000e+00,-5.122368826e-02,-2.668249392e+00,0.000000000e+00,-1.089731850e+00,2.092011515e-02,0.000000000e+00,-1.919513111e-02,-4.084070450e-01
4.800000000e-02,3.136365213e-01,1.599692571e+01,0.000000000e+00,6.533257157e+00,-1.280913649e-01,0.000000000e+00,-5.231341580e-02,-2.668228250e+00,0.000000000e+00,-1.089723215e+00,2.136516756e-02,0.000000000e+00,-1.960353816e-02,-4.084070450e-01
4.900000000e-02,3.201697521e-01,1.599679628e+01,0.000000000e+00,6.533204299e+00,-1.307595823e-01,0.000000000e+00,-5.340313463e-02,-2.668206662e+00,0.000000000e+00,-1.089714398e+00,2.181021640e-02,0.000000000e+00,-2.001194520e-02,-4.084070450e-01
5.000000000e-02,3.267029295e-01,1.599666419e+01,0.000000000e+00,6.533150351e+00,-1.334277780e-01,0.000000000e+00,-5.449284454e-02,-2.668184629e+00,0.000000000e+00,-1.089705400e+00,2.225526161e-02,0.000000000e+00,-2.042035225e-02,-4.084070450e-01
5.100000000e-02,3.332360524e-01,1.599652943e+01,0.000000000e+00,6.533095313e+00,-1.360959515e-01,0.000000000e+00,-5.558254536e-02,-2.668162151e+00,0.000000000e+00,-1.089696220e+00,2.270030310e-02,0.000000000e+00,-2.082875929e-02,-4.084070450e-01
5.200000000e-02,3.397691198e-01,1.599639200e+01,0.000000000e+00,6.533039186e+00,-1.387641022e-01,0.000000000e+00,-5.667223692e-02,-2.668139229e+00,0.000000000e+00,-1.089686858e+00,2.314534081e-02,0.000000000e+00,-2.123716634e-02,-4.084070450e-01
5.300000000e-02,3.463021304e-01,1.599625190e+01,0.000000000e+00,6.532981969e+00,-1.414322298e-01,0.000000000e+00,-5.776191902e-02,-2.668115861e+00,0.000000000e+00,-1.089677314e+00,2.359037466e-02,0.000000000e+00,-2.164557338e-02,-4.084070450e-01
5.400000000e-02,3.528350834e-01,1.599610913e+01,0.000000000e+00,6.532923662e+00,-1.441003338e-01,0.000000000e+00,-5.885159149e-02,-2.668092048e+00,0.000000000e+00,-1.089667589e+00,2.403540457e-02,0.000000000e+00,-2.205398043e-02,-4.084070450e-01
5.500000000e-02,3.593679774e-01,1.599596370e+01,0.000000000e+00,6.532864266e+00,-1.467684137e-01,0.000000000e+00,-5.994125414e-02,-2.668067790e+00,0.000000000e+00,-1.089657682e+00,2.448043047e-02,0.000000000e+00,-2.246238747e-02,-4.084070450e-01
5.600000000e-02,3.659008115e-01,1.599581560e+01,0.000000000e+00,6.532803780e+00,-1.494364692e-01,0.000000000e+00,-6.103090679e-02,-2.668043087e+00,0.000000000e+00,-1.089647593e+00,2.492545229e-02,0.000000000e+00,-2.287079452e-02,-4.084070450e-01
5.700000000e-02,3.724335846e-01,1.599566483e+01,0.000000000e+00,6.532742204e+00,-1.521044997e-01,0.000000000e+00,-6.212054926e-02,-2.668017939e+00,0.000000000e+00,-1.089637322e+00,2.537046996e-02,0.000000000e+00,-2.327920156e-02,-4.084070450e-01
5.800000000e-02,3.789662956e-01,1.599551139e+01,0.000000000e+00,6.532679538e+00,-1.547725049e-01,0.000000000e+00,-6.321018137e-02,-2.667992346e+00,0.000000000e+00,-1.089626870e+00,2.581548339e-02,0.000000000e+00,-2.368760861e-02,-4.084070450e-01
5.900000000e-02,3.854989433e-01,1.599535528e+01,0.000000000e+00,6.532615783e+00,-1.574404843e-01,0.000000000e+00,-6.429980294e-02,-2.667966308e+00,0.000000000e+00,-1.089616236e+00,2.626049251e-02,0.000000000e+00,-2.409601565e-02,-4.084070450e-01
6.000000000e-02,3.920315268e-01,1.599519651e+01,0.000000000e+00,6.532550939e+00,-1.601084374e-01,0.000000000e+00,-6.538941379e-02,-2.667939825e+00,0.000000000e+00,-1.089605420e+00,2.670549726e-02,0.000000000e+00,-2.450442270e-02,-4.084070450e-01
6.100000000e-02,3.985640448e-01,1.599503506e+01,0.000000000e+00,6.532485005e+00,-1.627763638e-01,0.000000000e+00,-6.647901372e-02,-2.667912897e+00,0.000000000e+00,-1.089594423e+00,2.715049755e-02,0.000000000e+00,-2.491282974e-02,-4.084070450e-01
6.200000000e-02,4.050964964e-01,1.599487095e+01,0.000000000e+00,6.532417981e+00,-1.654442630e-01,0.000000000e+00,-6.756860257e-02,-2.667885524e+00,0.000000000e+00,-1.089583243e+00,2.759549331e-02,0.000000000e+00,-2.532123679e-02,-4.084070450e-01
6.300000000e-02,4.116288804e-01,1.599470418e+01,0.000000000e+00,6.532349867e+00,-1.681121347e-01,0.000000000e+00,-6.865818015e-02,-2.667857706e+00,0.000000000e+00,-1.089571882e+00,2.804048447e-02,0.000000000e+00,-2.572964383e-02,-4.084070450e-01
6.400000000e-02,4.181611958e-01,1.599453473e+01,0.000000000e+00,6.532280665e+00,-1.707799783e-01,0.000000000e+00,-6.974774627e-02,-2.667829443e+00,0.000000000e+00,-1.089560339e+00,2.848547095e-02,0.000000000e+00,-2.613805088e-02,-4.084070450e-01
6.500000000e-02,4.246934414e-01,1.599436262e+01,0.000000000e+00,6.532210372e+00,-1.734477934e-01,0.000000000e+00,-7.083730077e-02,-2.667800735e+00,0.000000000e+00,-1.089548615e+00,2.893045268e-02,0.000000000e+00,-2.654645792e-02,-4.084070450e-01
6.600000000e-02,4.312256162e-01,1.599418783e+01,0.000000000e+00,6.532138990e+00,-1.761155796e-01,0.000000000e+00,-7.192684344e-02,-2.667771582e+00,0.000000000e+00,-1.089536709e+00,2.937542958e-02,0.000000000e+00,-2.695486497e-02,-4.084070450e-01
6.700000000e-02,4.377577190e-01,1.599401038e+01,0.000000000e+00,6.532066518e+00,-1.787833364e-01,0.000000000e+00,-7.301637412e-02,-2.667741984e+00,0.000000000e+00,-1.089524621e+00,2.982040159e-02,0.000000000e+00,-2.736327201e-02,-4.084070450e-01
6.800000000e-02,4.442897488e-01,1.599383027e+01,0.000000000e+00,6.531992957e+00,-1.814510634e-01,0.000000000e+00,-7.410589262e-02,-2.667711941e+00,0.000000000e+00,-1.089512351e+00,3.026536862e-02,0.000000000e+00,-2.777167906e-02,-4.084070450e-01
6.900000000e-02,4.508217046e-01,1.599364748e+01,0.000000000e+00,6.531918307e+00,-1.841187602e-01,0.000000000e+00,-7.519539876e-02,-2.667681454e+00,0.000000000e+00,-1.089499899e+00,3.071033060e-02,0.000000000e+00,-2.818008610e-02,-4.084070450e-01
7.000000000e-02,4.573535851e-01,1.599346203e+01,0.000000000e+00,6.531842566e+00,-1.867864262e-01,0.000000000e+00,-7.628489236e-02,-2.667650521e+00,0.000000000e+00,-1.089487266e+00,3.115528746e-02,0.000000000e+00,-2.858849315e-02,-4.084070450e-01
7.100000000e-02,4.638853893e-01,1.599327391e+01,0.000000000e+00,6.531765737e+00,-1.894540611e-01,0.000000000e+00,-7.737437324e-02,-2.667619143e+00,0.000000000e+00,-1.089474451e+00,3.160023913e-02,0.000000000e+00,-2.899690019e-02,-4.084070450e-01
7.200000000e-02,4.704171162e-01,1.599308312e+01,0.000000000e+00,6.531687818e+00,-1.921216643e-01,0.000000000e+00,-7.846384120e-02,-2.667587320e+00,0.000000000e+00,-1.089461455e+00,3.204518552e-02,0.000000000e+00,-2.940530724e-02,-4.084070450e-01
7.300000000e-02,4.769487646e-01,1.599288967e+01,0.000000000e+00,6.531608809e+00,-1.947892356e-01,0.000000000e+00,-7.955329608e-02,-2.667555053e+00,0.000000000e+00,-1.089448276e+00,3.249012657e-02,0.000000000e+00,-2.981371428e-02,-4.084070450e-01
7.400000000e-02,4.834803335e-01,1.599269354e+01,0.000000000e+00,6.531528711e+00,-1.974567743e-01,0.000000000e+00,-8.064273770e-02,-2.667522340e+00,0.000000000e+00,-1.089434916e+00,3.293506220e-02,0.000000000e+00,-3.022212133e-02,-4.084070450e-01
7.500000000e-02,4.900118217e-01,1.599249475e+01,0.000000000e+00,6.531447524e+00,-2.001242801e-01,0.000000000e+00,-8.173216586e-02,-2.667489182e+00,0.000000000e+00,-1.089421374e+00,3.337999234e-02,0.000000000e+00,-3.063052837e-02,-4.084070450e-01
7.600000000e-02,4.965432281e-01,1.599229329e+01,0.000000000e+00,6.531365247e+00,-2.027917525e-01,0.000000000e+00,-8.282158038e-02,-2.667455580e+00,0.000000000e+00,-1.089407651e+00,3.382491690e-02,0.000000000e+00,-3.103893542e-02,-4.084070450e-01
7.700000000e-02,5.030745518e-01,1.599208917e+01,0.000000000e+00,6.531281880e+00,-2.054591911e-01,0.000000000e+00,-8.391098110e-02,-2.667421533e+00,0.000000000e+00,-1.089393746e+00,3.426983583e-02,0.000000000e+00,-3.144734246e-02,-4.084070450e-01
7.800000000e-02,5.096057915e-01,1.599188238e+01,0.000000000e+00,6.531197425e+00,-2.081265954e-01,0.000000000e+00,-8.500036781e-02,-2.667387040e+00,0.000000000e+00,-1.089379659e+00,3.471474904e-02,0.000000000e+00,-3.185574951e-02,-4.084070450e-01
7.900000000e-02,5.161369463e-01,1.599167292e+01,0.000000000e+00,6.531111880e+00,-2.107939650e-01,0.000000000e+00,-8.608974035e-02,-2.667352103e+00,0.000000000e+00,-1.089365390e+00,3.515965646e-02,0.000000000e+00,-3.226415655e-02,-4.084070450e-01
8.000000000e-02,5.226680149e-01,1.599146079e+01,0.000000000e+00,6.531025245e+00,-2.134612995e-01,0.000000000e+00,-8.717909853e-02,-2.667316721e+00,0.000000000e+00,-1.089350940e+00,3.560455802e-02,0.000000000e+00,-3.267256360e-02,-4.084070450e-01
8.100000000e-02,5.291989964e-01,1.599124599e+01,0.000000000e+00,6.530937522e+00,-2.161285983e-01,0.000000000e+00,-8.826844217e-02,-2.667280894e+00,0.000000000e+00,-1.089336308e+00,3.604945363e-02,0.000000000e+00,-3.308097064e-02,-4.084070450e-01
8.200000000e-02,5.357298896e-01,1.599102853e+01,0.000000000e+00,6.530848708e+00,-2.187958611e-01,0.000000000e+00,-8.935777109e-02,-2.667244622e+00,0.000000000e+00,-1.089321494e+00,3.649434324e-02,0.000000000e+00,-3.348937769e-02,-4.084070450e-01
8.300000000e-02,5.422606935e-01,1.599080840e+01,0.000000000e+00,6.530758806e+00,-2.214630874e-01,0.000000000e+00,-9.044708510e-02,-2.667207905e+00,0.000000000e+00,-1.089306499e+00,3.693922675e-02,0.000000000e+00,-3.389778473e-02,-4.084070450e-01
8.400000000e-02,5.487914069e-01,1.599058561e+01,0.000000000e+00,6.530667814e+00,-2.241302768e-01,0.000000000e+00,-9.153638403e-02,-2.667170744e+00,0.000000000e+00,-1.089291322e+00,3.738410411e-02,0.000000000e+00,-3.430619178e-02,-4.084070450e-01
8.500000000e-02,5.553220287e-01,1.599036014e+01,0.000000000e+00,6.530575733e+00,-2.267974288e-01,0.000000000e+00,-9.262566769e-02,-2.667133137e+00,0.000000000e+00,-1.089275963e+00,3.782897523e-02,0.000000000e+00,-3.471459882e-02,-4.084070450e-01
8.600000000e-02,5.618525580e-01,1.599013201e+01,0.000000000e+00,6.530482563e+00,-2.294645429e-01,0.000000000e+00,-9.371493589e-02,-2.667095086e+00,0.000000000e+00,-1.089260423e+00,3.827384004e-02,0.000000000e+00,-3.512300587e-02,-4.084070450e-01
8.700000000e-02,5.683829935e-01,1.598990121e+01,0.000000000e+00,6.530388303e+00,-2.321316188e-01,0.000000000e+00,-9.480418847e-02,-2.667056589e+00,0.000000000e+00,-1.089244700e+00,3.871869846e-02,0.000000000e+00,-3.553141291e-02,-4.084070450e-01
8.800000000e-02,5.749133342e-01,1.598966775e+01,0.000000000e+00,6.530292955e+00,-2.347986559e-01,0.000000000e+00,-9.589342523e-02,-2.667017648e+00,0.000000000e+00,-1.089228797e+00,3.916355043e-02,0.000000000e+00,-3.593981996e-02,-4.084070450e-01
8.900000000e-02,5.814435790e-01,1.598943161e+01,0.000000000e+00,6.530196516e+00,-2.374656539e-01,0.000000000e+00,-9.698264600e-02,-2.666978262e+00,0.000000000e+00,-1.089212711e+00,3.960839587e-02,0.000000000e+00,-3.634822700e-02,-4.084070450e-01
9.000000000e-02,5.879737269e-01,1.598919282e+01,0.000000000e+00,6.530098989e+00,-2.401326123e-01,0.000000000e+00,-9.807185060e-02,-2.666938432e+00,0.000000000e+00,-1.089196444e+00,4.005323470e-02,0.000000000e+00,-3.675663405e-02,-4.084070450e-01
9.100000000e-02,5.945037767e-01,1.598895135e+01,0.000000000e+00,6.530000373e+00,-2.427995306e-01,0.000000000e+00,-9.916103883e-02,-2.666898156e+00,0.000000000e+00,-1.089179995e+00,4.049806684e-02,0.000000000e+00,-3.716504109e-02,-4.084070450e-01
9.200000000e-02,6.010337273e-01,1.598870722e+01,0.000000000e+00,6.529900667e+00,-2.454664085e-01,0.000000000e+00,-1.002502105e-01,-2.666857435e+00,0.000000000e+00,-1.089163365e+00,4.094289224e-02,0.000000000e+00,-3.757344814e-02,-4.084070450e-01
9.300000000e-02,6.075635776e-01,1.598846042e+01,0.000000000e+00,6.529799872e+00,-2.481332454e-01,0.000000000e+00,-1.013393655e-01,-2.666816270e+00,0.000000000e+00,-1.089146552e+00,4.138771080e-02,0.000000000e+00,-3.798185518e-02,-4.084070450e-01
9.400000000e-02,6.140933266e-01,1.598821095e+01,0.000000000e+00,6.529697988e+00,-2.508000409e-01,0.000000000e+00,-1.024285036e-01,-2.666774660e+00,0.000000000e+00,-1.089129558e+00,4.183252246e-02,0.000000000e+00,-3.839026223e-02,-4.084070450e-01
